window,timestamp,ticker,agg_score,signal
1,2025-09-01 12:22:21+00:00,AEP,-0.25,Short
1,2025-08-26 11:43:07+00:00,AMAT,0.6,Long
1,2025-08-26 12:52:00+00:00,AMAT,0.55,Long
1,2025-08-27 04:22:29+00:00,AMAT,0.6333333333333333,Long
1,2025-08-27 13:40:00+00:00,AMAT,0.65,Long
1,2025-08-28 20:48:19+00:00,AMAT,0.2,Long
1,2025-08-29 17:34:49+00:00,AMAT,-0.19999999999999998,Short
1,2025-08-29 19:30:50+00:00,AMAT,-0.3,Short
1,2025-08-30 10:12:47+00:00,AMAT,-0.3333333333333333,Short
1,2025-09-01 13:00:05+00:00,AMAT,0.5,Long
1,2025-09-01 13:47:36+00:00,AMAT,0.0,Neutral
1,2025-09-02 04:58:07+00:00,AMAT,0.16666666666666666,Long
1,2025-08-27 01:29:58+00:00,AMD,0.6,Long
1,2025-08-28 09:26:18+00:00,AMD,0.2,Long
1,2025-08-29 04:47:08+00:00,AMD,0.5,Long
1,2025-08-29 19:47:42+00:00,AMD,0.4,Long
1,2025-08-29 20:00:13+00:00,AMD,0.43333333333333335,Long
1,2025-08-29 20:12:43+00:00,AMD,0.2,Long
1,2025-08-29 20:25:55+00:00,AMD,0.06000000000000001,Neutral
1,2025-08-30 03:42:43+00:00,AMD,0.18333333333333335,Long
1,2025-08-30 08:55:00+00:00,AMD,0.18333333333333335,Long
1,2025-08-30 10:08:37+00:00,AMD,0.2285714285714286,Long
1,2025-08-30 14:15:31+00:00,AMD,0.30000000000000004,Long
1,2025-08-30 22:37:21+00:00,AMD,0.62,Long
1,2025-08-31 09:25:30+00:00,AMD,0.375,Long
1,2025-08-31 16:00:00+00:00,AMD,0.26666666666666666,Long
1,2025-09-01 02:43:00+00:00,AMD,0.3666666666666667,Long
1,2025-09-01 03:05:54+00:00,AMD,0.325,Long
1,2025-09-01 09:18:43+00:00,AMD,0.36,Long
1,2025-09-01 11:37:24+00:00,AMD,0.45999999999999996,Long
1,2025-09-01 13:11:00+00:00,AMD,0.4166666666666667,Long
1,2025-08-26 12:06:00+00:00,AMGN,0.2,Long
1,2025-08-26 17:26:51+00:00,AMGN,0.35,Long
1,2025-08-27 08:59:00+00:00,AMGN,0.3,Long
1,2025-08-28 08:29:00+00:00,AMGN,0.1,Neutral
1,2025-08-28 11:03:00+00:00,AMGN,0.4,Long
1,2025-08-29 09:40:23+00:00,AMGN,0.65,Long
1,2025-08-29 18:57:20+00:00,AMGN,0.65,Long
1,2025-08-29 19:05:30+00:00,AMGN,0.7000000000000001,Long
1,2025-08-29 20:01:00+00:00,AMGN,0.55,Long
1,2025-08-30 10:15:30+00:00,AMGN,0.47500000000000003,Long
1,2025-08-30 14:00:14+00:00,AMGN,0.42000000000000004,Long
1,2025-08-31 04:10:45+00:00,AMGN,0.4000000000000001,Long
1,2025-09-01 04:31:36+00:00,AMGN,0.5,Long
1,2025-09-01 13:40:01+00:00,AMGN,0.65,Long
1,2025-09-01 15:05:29+00:00,AMGN,0.26666666666666666,Long
1,2025-09-01 20:59:31+00:00,AMGN,0.225,Long
1,2025-09-01 04:55:52+00:00,AMZN,0.1,Neutral
1,2025-09-01 06:00:00+00:00,AMZN,0.35,Long
1,2025-09-01 12:30:01+00:00,AMZN,0.39999999999999997,Long
1,2025-09-01 13:00:27+00:00,AMZN,0.175,Long
1,2025-09-01 13:33:00+00:00,AMZN,0.25999999999999995,Long
1,2025-09-01 15:10:03+00:00,AMZN,0.35000000000000003,Long
1,2025-09-01 15:35:00+00:00,AMZN,0.37142857142857144,Long
1,2025-09-01 16:00:02+00:00,AMZN,0.425,Long
1,2025-09-01 22:01:00+00:00,AMZN,0.43333333333333335,Long
1,2025-09-02 01:15:00+00:00,AMZN,0.47000000000000003,Long
1,2025-09-02 01:54:00+00:00,AMZN,0.5,Long
1,2025-09-02 04:46:37+00:00,AMZN,0.5083333333333333,Long
1,2025-09-02 05:34:18+00:00,AMZN,0.5666666666666668,Long
1,2025-08-26 12:02:55+00:00,APP,0.2,Long
1,2025-08-26 14:50:40+00:00,APP,0.35,Long
1,2025-08-26 20:00:20+00:00,APP,0.5,Long
1,2025-08-27 01:26:05+00:00,APP,0.425,Long
1,2025-08-27 08:00:00+00:00,APP,0.5,Long
1,2025-08-27 13:30:03+00:00,APP,0.5599999999999999,Long
1,2025-08-27 20:05:00+00:00,APP,0.5,Long
1,2025-08-28 04:31:47+00:00,APP,0.575,Long
1,2025-08-28 16:45:03+00:00,APP,0.5333333333333333,Long
1,2025-08-26 15:16:15+00:00,ARM,0.5,Long
1,2025-08-27 12:53:00+00:00,ARM,0.65,Long
1,2025-08-27 13:26:00+00:00,ARM,0.6,Long
1,2025-08-27 17:44:00+00:00,ARM,0.5,Long
1,2025-08-28 01:00:00+00:00,ARM,0.575,Long
1,2025-08-28 10:11:38+00:00,ARM,0.5599999999999999,Long
1,2025-08-29 01:19:00+00:00,ARM,0.5,Long
1,2025-08-26 12:40:00+00:00,ASML,0.2,Long
1,2025-08-26 15:59:28+00:00,ASML,0.35,Long
1,2025-08-26 21:45:02+00:00,ASML,0.39999999999999997,Long
1,2025-08-27 03:53:56+00:00,ASML,0.325,Long
1,2025-08-27 11:43:41+00:00,ASML,0.42000000000000004,Long
1,2025-08-27 22:30:00+00:00,ASML,0.3666666666666667,Long
1,2025-08-28 04:32:39+00:00,ASML,0.39999999999999997,Long
1,2025-08-28 09:30:00+00:00,ASML,0.5,Long
1,2025-08-29 11:31:34+00:00,ASML,0.5,Long
1,2025-08-29 11:37:35+00:00,ASML,0.5,Long
1,2025-09-01 11:15:00+00:00,ASML,0.5,Long
1,2025-09-02 04:57:51+00:00,ASML,0.25,Long
1,2025-08-31 17:36:03+00:00,AVGO,0.2,Long
1,2025-08-31 18:00:00+00:00,AVGO,0.35,Long
1,2025-09-01 05:00:32+00:00,AVGO,0.5,Long
1,2025-09-01 13:32:18+00:00,AVGO,0.4,Long
1,2025-09-01 16:10:02+00:00,AVGO,0.36,Long
1,2025-09-01 16:45:02+00:00,AVGO,0.3833333333333333,Long
1,2025-09-02 05:04:57+00:00,AVGO,0.4,Long
1,2025-09-02 05:04:59+00:00,AVGO,0.42000000000000004,Long
1,2025-09-02 05:44:39+00:00,AVGO,0.43333333333333335,Long
1,2025-08-26 08:14:52+00:00,AXON,0.5,Long
1,2025-08-26 12:00:20+00:00,AXON,0.5,Long
1,2025-08-27 12:30:01+00:00,AXON,0.5,Long
1,2025-08-28 03:38:58+00:00,AXON,0.5,Long
1,2025-08-28 12:22:35+00:00,AXON,0.5333333333333333,Long
1,2025-08-28 13:47:58+00:00,AXON,0.39999999999999997,Long
1,2025-08-29 19:30:57+00:00,AXON,-0.5,Short
1,2025-08-30 12:30:21+00:00,AXON,0.04999999999999999,Neutral
1,2025-08-31 16:56:27+00:00,AXON,0.8,Long
1,2025-08-26 08:10:00+00:00,AZN,0.8,Long
1,2025-08-26 15:58:00+00:00,AZN,0.5,Long
1,2025-08-27 08:50:00+00:00,AZN,0.2,Long
1,2025-08-27 10:06:00+00:00,AZN,0.3,Long
1,2025-08-28 09:00:32+00:00,AZN,0.5,Long
1,2025-08-28 16:54:00+00:00,AZN,0.25,Long
1,2025-08-30 12:52:00+00:00,AZN,0.5,Long
1,2025-08-30 14:15:11+00:00,AZN,0.55,Long
1,2025-08-30 14:19:00+00:00,AZN,0.6333333333333333,Long
1,2025-09-01 10:56:13+00:00,AZN,0.6,Long
1,2025-09-01 11:00:25+00:00,AZN,0.6,Long
1,2025-08-29 21:00:00+00:00,BIIB,0.8,Long
1,2025-08-29 21:00:28+00:00,BIIB,0.8,Long
1,2025-09-01 14:31:00+00:00,BIIB,0.5,Long
1,2025-08-26 13:08:44+00:00,BKNG,0.2,Long
1,2025-08-26 14:10:52+00:00,BKNG,0.35,Long
1,2025-08-27 01:00:00+00:00,BKNG,0.39999999999999997,Long
1,2025-08-27 09:05:55+00:00,BKNG,0.175,Long
1,2025-08-28 03:22:00+00:00,BKNG,0.0,Neutral
1,2025-08-28 13:50:02+00:00,BKNG,0.5499999999999999,Long
1,2025-08-28 15:30:05+00:00,BKNG,0.5333333333333333,Long
1,2025-08-29 04:05:00+00:00,BKNG,0.5333333333333333,Long
1,2025-08-29 13:45:03+00:00,BKNG,0.525,Long
1,2025-08-29 14:00:00+00:00,BKNG,0.425,Long
1,2025-09-01 00:05:00+00:00,BKNG,0.5,Long
1,2025-09-01 10:47:38+00:00,BKNG,0.25,Long
1,2025-09-01 11:14:17+00:00,BKNG,0.43333333333333335,Long
1,2025-09-02 02:05:00+00:00,BKNG,0.4666666666666666,Long
1,2025-08-26 11:00:00+00:00,BKR,0.8,Long
1,2025-08-26 12:00:17+00:00,BKR,0.7,Long
1,2025-08-26 20:30:00+00:00,BKR,0.6333333333333333,Long
1,2025-08-27 12:30:00+00:00,BKR,0.5,Long
