timestamp,ticker,agg_score,signal
2025-05-01 00:00:00+00:00,AAPL,0.0,Neutral
2025-05-12 00:00:00+00:00,AAPL,0.1,Neutral
2025-07-09 00:00:00+00:00,AAPL,0.2,Long
2025-07-11 09:30:30+00:00,AAPL,0.2,Long
2025-07-11 19:37:07+00:00,AAPL,0.3,Long
2025-07-14 16:46:18+00:00,AAPL,0.5,Long
2025-07-14 17:44:34+00:00,AAPL,0.16666666666666666,Long
2025-07-14 17:56:46+00:00,AAPL,0.25,Long
2025-07-14 18:38:52+00:00,AAPL,0.32,Long
2025-07-14 18:45:57+00:00,AAPL,0.35000000000000003,Long
2025-07-14 19:01:03+00:00,AAPL,0.37142857142857144,Long
2025-07-14 20:48:40+00:00,AAPL,0.32857142857142857,Long
2025-04-16 00:00:00+00:00,ABT,0.1,Neutral
2025-04-28 00:00:00+00:00,ABT,0.0,Neutral
2025-05-01 00:00:00+00:00,ABT,-0.5,Short
2025-07-11 13:46:00+00:00,ABT,0.5,Long
2025-07-11 22:00:02+00:00,ABT,0.0,Neutral
2025-07-11 23:10:00+00:00,ABT,-0.16666666666666666,Short
2025-07-13 11:00:12+00:00,ABT,0.024999999999999994,Neutral
2025-07-14 11:08:37+00:00,ABT,-0.08,Neutral
2025-07-14 12:29:00+00:00,ABT,-0.03333333333333333,Neutral
2025-07-14 13:15:02+00:00,ABT,0.0,Neutral
2025-03-20 00:00:00+00:00,ACN,0.0,Neutral
2025-06-20 00:00:00+00:00,ACN,0.1,Neutral
2025-06-20 00:00:00+00:00,ACN,0.1,Neutral
2025-07-08 17:24:25+00:00,ACN,0.8,Long
2025-07-08 20:19:30+00:00,ACN,0.45,Long
2025-07-09 04:34:29+00:00,ACN,0.4666666666666666,Long
2025-07-10 06:19:17+00:00,ACN,0.475,Long
2025-07-10 13:00:02+00:00,ACN,0.48,Long
2025-07-10 16:55:05+00:00,ACN,0.48333333333333334,Long
2025-07-11 11:10:42+00:00,ACN,0.5,Long
2025-07-11 11:59:58+00:00,ACN,0.5,Long
2025-07-11 12:00:23+00:00,ACN,0.4666666666666667,Long
2025-07-12 10:46:01+00:00,ACN,0.4714285714285715,Long
2025-03-12 00:00:00+00:00,ADBE,0.1,Neutral
2025-04-24 00:00:00+00:00,ADBE,0.1,Neutral
2025-06-12 00:00:00+00:00,ADBE,0.1,Neutral
2025-07-12 13:30:36+00:00,ADBE,0.8,Long
2025-07-12 17:01:00+00:00,ADBE,0.5,Long
2025-07-12 20:11:20+00:00,ADBE,0.6,Long
2025-07-13 06:48:22+00:00,ADBE,0.6,Long
2025-07-14 12:16:49+00:00,ADBE,0.36,Long
2025-07-14 13:35:02+00:00,ADBE,0.20000000000000004,Long
2025-07-14 13:50:44+00:00,ADBE,0.1,Neutral
2025-07-14 16:44:41+00:00,ADBE,0.1875,Long
2025-05-22 00:00:00+00:00,ADI,0.0,Neutral
2025-05-27 00:00:00+00:00,ADI,-0.2,Short
2025-06-16 00:00:00+00:00,ADI,0.1,Neutral
2025-07-03 11:00:49+00:00,ADI,0.5,Long
2025-07-04 04:35:44+00:00,ADI,0.0,Neutral
2025-07-07 11:00:26+00:00,ADI,0.1,Neutral
2025-07-07 20:42:10+00:00,ADI,-0.35000000000000003,Short
2025-07-08 15:25:00+00:00,ADI,-0.4000000000000001,Short
2025-07-08 22:15:02+00:00,ADI,-0.25,Short
2025-07-10 13:47:42+00:00,ADI,-0.12500000000000006,Short
2025-07-12 11:00:14+00:00,ADI,0.5499999999999999,Long
2025-07-13 19:25:22+00:00,ADI,0.65,Long
2025-05-08 00:00:00+00:00,ADP,0.1,Neutral
2025-06-25 11:43:03+00:00,ADP,0.6,Long
2025-06-26 15:24:00+00:00,ADP,0.6,Long
2025-06-27 00:00:00+00:00,ADP,0.43333333333333335,Long
2025-06-30 14:52:00+00:00,ADP,0.6,Long
2025-07-01 14:50:00+00:00,ADP,0.55,Long
2025-07-02 18:12:37+00:00,ADP,0.5666666666666667,Long
2025-07-02 20:56:51+00:00,ADP,0.625,Long
2025-07-03 11:33:39+00:00,ADP,0.6,Long
2025-07-03 15:03:00+00:00,ADP,0.64,Long
2025-07-07 13:41:55+00:00,ADP,0.0,Neutral
2025-07-11 11:56:23+00:00,ADP,0.1,Neutral
2025-06-06 00:00:00+00:00,ADSK,0.1,Neutral
2025-06-20 00:00:00+00:00,ADSK,0.1,Neutral
2025-07-14 17:59:00+00:00,ADSK,0.5,Long
2025-07-14 18:26:00+00:00,ADSK,0.5,Long
2025-07-14 20:39:59+00:00,ADSK,0.5,Long
2025-03-10 00:00:00+00:00,AMAT,0.1,Neutral
2025-04-14 00:00:00+00:00,AMAT,0.1,Neutral
2025-05-15 00:00:00+00:00,AMAT,0.1,Neutral
2025-07-09 15:51:00+00:00,AMAT,0.5,Long
2025-07-09 18:47:30+00:00,AMAT,0.65,Long
2025-07-10 13:42:59+00:00,AMAT,0.6,Long
2025-07-10 18:03:15+00:00,AMAT,0.575,Long
2025-07-11 03:26:00+00:00,AMAT,0.36,Long
2025-07-13 19:25:20+00:00,AMAT,0.15000000000000002,Long
2025-07-14 12:41:00+00:00,AMAT,0.65,Long
2025-07-14 13:23:00+00:00,AMAT,0.5,Long
2025-02-04 00:00:00+00:00,AMGN,0.1,Neutral
2025-05-01 00:00:00+00:00,AMGN,0.1,Neutral
2025-05-27 00:00:00+00:00,AMGN,0.1,Neutral
2025-07-08 18:17:46+00:00,AMGN,0.2,Long
2025-07-08 20:01:33+00:00,AMGN,-0.15,Short
2025-07-08 22:00:01+00:00,AMGN,0.06666666666666667,Neutral
2025-07-09 13:50:02+00:00,AMGN,0.25,Long
2025-07-10 08:21:00+00:00,AMGN,0.32,Long
2025-07-10 13:00:08+00:00,AMGN,0.35000000000000003,Long
2025-07-11 13:40:03+00:00,AMGN,0.41428571428571426,Long
2025-07-11 21:50:03+00:00,AMGN,0.45,Long
2025-07-14 13:45:02+00:00,AMGN,0.04999999999999999,Neutral
2025-05-01 00:00:00+00:00,AMZN,0.0,Neutral
2025-05-22 00:00:00+00:00,AMZN,0.0,Neutral
2025-07-14 14:19:06+00:00,AMZN,0.8,Long
2025-07-14 14:47:00+00:00,AMZN,0.4,Long
2025-07-14 14:52:57+00:00,AMZN,0.10000000000000002,Long
2025-07-14 16:26:10+00:00,AMZN,0.2,Long
2025-04-10 00:00:00+00:00,AON,-0.2,Short
2025-04-25 00:00:00+00:00,AON,0.0,Neutral
2025-06-24 14:17:00+00:00,AON,0.5,Long
2025-06-27 05:00:00+00:00,AON,0.55,Long
2025-06-30 15:00:26+00:00,AON,0.6,Long
2025-07-01 11:00:16+00:00,AON,0.7,Long
2025-07-02 17:31:53+00:00,AON,0.6666666666666666,Long
2025-07-03 00:00:00+00:00,AON,0.525,Long
2025-07-08 11:12:28+00:00,AON,0.0,Neutral
2025-07-10 11:00:44+00:00,AON,0.25,Long
2025-07-10 11:27:19+00:00,AON,0.19999999999999998,Long
2025-07-10 12:41:15+00:00,AON,0.0,Neutral
2025-07-13 04:27:17+00:00,AON,0.125,Long
2025-05-01 00:00:00+00:00,APD,0.0,Neutral
2025-06-11 00:00:00+00:00,APD,0.1,Neutral
2025-06-13 00:00:00+00:00,APD,0.35,Long
2025-06-13 13:46:26+00:00,APD,0.4333333333333333,Long
2025-06-13 13:47:29+00:00,APD,0.475,Long
2025-06-17 08:54:21+00:00,APD,-0.8,Short
2025-06-18 18:31:51+00:00,APD,0.0,Neutral
2025-06-26 12:46:00+00:00,APD,0.2,Long
2025-06-30 14:00:00+00:00,APD,0.8,Long
2025-06-30 17:32:02+00:00,APD,0.15000000000000002,Long
2025-07-08 00:00:00+00:00,APD,-0.5,Short
2025-07-08 10:09:55+00:00,APD,0.0,Neutral
2025-07-09 10:20:05+00:00,APD,0.06666666666666667,Neutral
2025-05-20 00:00:00+00:00,AXP,0.1,Neutral
2025-07-11 14:34:00+00:00,AXP,-0.5,Short
2025-07-13 19:19:41+00:00,AXP,-0.15,Short
2025-07-14 16:17:59+00:00,AXP,0.2,Long
2025-04-24 00:00:00+00:00,BA,0.2,Long
2025-06-04 00:00:00+00:00,BA,-0.2,Short
2025-07-03 00:00:00+00:00,BA,0.1,Neutral
2025-07-14 11:43:14+00:00,BA,0.5,Long
2025-07-14 13:23:57+00:00,BA,0.5,Long
2025-07-14 13:26:44+00:00,BA,0.6,Long
