window,q_low,q_high,stop_loss,take_profit,signal_count,cagr,sharpe,max_dd,trades,win_rate
1,0.025,0.05,0.02,0.04,200,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.075,0.02,0.04,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.02,0.04,201,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.05,0.02,0.045,200,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.075,0.02,0.045,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.02,0.045,201,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.05,0.02,0.05,200,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.075,0.02,0.05,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.02,0.05,201,0.1830968411717615,0.09265716836647461,6.004246946241148,28,0.5357142857142857
1,0.025,0.05,0.0225,0.04,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.0225,0.04,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.0225,0.04,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.05,0.0225,0.045,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.0225,0.045,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.0225,0.045,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.05,0.0225,0.05,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.0225,0.05,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.0225,0.05,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.05,0.025,0.04,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.025,0.04,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.025,0.04,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.05,0.025,0.045,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.025,0.045,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.025,0.045,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.05,0.025,0.05,200,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
1,0.025,0.075,0.025,0.05,200,0.08662606960595443,0.07000741842339822,2.027977333473929,19,0.5263157894736842
1,0.05,0.075,0.025,0.05,201,0.18264407703706964,0.09249580375794693,6.004246946241148,25,0.56
3,0.025,0.05,0.02,0.04,200,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.075,0.02,0.04,200,0.07961184352118189,0.07228163333374811,2.7657920875348356,24,0.5
3,0.05,0.075,0.02,0.04,201,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.05,0.02,0.045,200,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.075,0.02,0.045,200,0.07961184352118189,0.07228163333374811,2.7657920875348356,24,0.5
3,0.05,0.075,0.02,0.045,201,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.05,0.02,0.05,200,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.075,0.02,0.05,200,0.07961184352118189,0.07228163333374811,2.7657920875348356,24,0.5
3,0.05,0.075,0.02,0.05,201,0.0865603194323048,0.04210871250654318,5.994582914411516,27,0.48148148148148145
3,0.025,0.05,0.0225,0.04,200,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.075,0.0225,0.04,200,0.07961328120664657,0.07228297906316727,2.7657920875348356,23,0.5217391304347826
3,0.05,0.075,0.0225,0.04,201,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.05,0.0225,0.045,200,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.075,0.0225,0.045,200,0.07961328120664657,0.07228297906316727,2.7657920875348356,23,0.5217391304347826
3,0.05,0.075,0.0225,0.045,201,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.05,0.0225,0.05,200,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.075,0.0225,0.05,200,0.07961328120664657,0.07228297906316727,2.7657920875348356,23,0.5217391304347826
3,0.05,0.075,0.0225,0.05,201,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.05,0.025,0.04,200,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.075,0.025,0.04,200,0.07961328120664657,0.07228297906316727,2.7657920875348356,23,0.5217391304347826
3,0.05,0.075,0.025,0.04,201,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
3,0.025,0.05,0.025,0.045,200,0.08611784924920607,0.04191831882702275,5.994582914411516,24,0.5
